bloody marry,vodka,1.5 oz,tomato juice,4 oz,worcestershire,.25 oz,lemon juice,.25 oz,hot sauce,2 dashes,horseraddish,1 tsp,salt and papper, a pinch,celery and lemon
alabama fizz,gin,2 oz,lemon juice,1/2 oz,club soda,1 tsp,,,,,,,,,
moscow mule,vodka,2 oz,lime juice,1/2 a lime,ginger beer,3 oz,,,,,,,,,
the abyss,vodka,1 oz,white rum,1/2 oz,pineapple juice,1/2 oz,,,,,,,,,
vesper,gin,3 oz,vodka,1 oz,lillet blanc apéritif,.5 oz,,,,,,,,,
acapulco,light rum,1 3/4 oz,triple sec,1/2 oz,lime juice,1/2 oz,sugar,1 tsp,,,,,,,
vodka soda,vodka,2 oz,club soda,top off,lemon wedge,1 slice,,,,,,,,,
belly,peach schnapps,1/2 oz,coconut rum,1/2 oz,white run,1/2 oz,orange juice,,crushed ice,,,,,,
screwdriver,vodka,1.5 oz,orange juice,top off,,,,,,,,,,,
hummer,light rum,1 oz,coffee liqueur,1 oz,vanilla ice cream,2 scoops,,,,,,,,,
sex on the beach,vodka ,1.5 oz,peach schnapps,.5 oz,orange juice,1.5 oz,cranberry juice,1.5 oz,,,,,,,
hurricane carolyn,coconut rum,1 shot,spiced rum,1 shot,light rum,1 shot,orange juice,1 shot,cranberry juice,1 shot,,,,,
vodka martini,vodka,2.5 oz,dry vermouth,.5 oz,olive brine,.5 oz,,,,,,,,,
kickapoo mountain joy juice,spiced rum,1/2 oz,coconut rum,1/2 oz,dark rum,1/2 oz,light rum,1/2 oz,pineapple juice,,orange juice,,grenadine,,ice
greyhound,vodka,1.5 oz,grapefruit juice,top off,,,,,,,,,,,
original pina colada,light rum,2 oz,coconut cream,1 oz,heavy cream,1 oz,pineapple juice,6 oz,crushed ice,1/2 cup,,,,,
cosmopolitan,vodka,1.5 oz,orange liqueur,1 oz,lime juice,.5 oz,cranberry juice,splash,,,,,,,
pina colada,light rum,2 oz,pineapple juice,3 oz,coconut cream,2 oz,ice,,,,,,,,
cucumber fizz,vodka,1.5 oz,cucumber ,2  oz,elderflower liqueur,.5 oz,lemon juice,.5 oz,simple syrup,.5 oz,lemonade,top off,,,
romeo,light rum,3 oz ,lemon concentrate,1/2 oz,orange liqueur,1 oz,strawberry puree,3 oz,,,,,,,
kamikaze,vodka,2 oz,orange liqueur,.75 oz,lime juice,.75 oz,,,,,,,,,
scott's sling,coconut rum,1/2 oz,whiskey,1/2 oz,white rum,1/2 oz,orange juice,2 oz,lemon juice,1 oz,soda water,,grenadine,,
gimlet,gin,2.5 oz,lime juice,.5 oz,simple syrup,.5 oz,,,,,,,,,
adel's valentine,vanilla ice cream,1/2 scoop,rum,1 oz,creme de cacao,1 oz,cherry juice,1/2 oz,cherry juice,1/2 oz,,,,,
dry martini,gin,2.5 oz,dry vermouth,.5 oz,orange bitters, 1 dash,,,,,,,,,
blue wave,light rum,1 oz,peach schnapps,1/2 oz,blue curacao,1/4 oz,sweet and sour mix,2 oz,,,,,,,
gin fizz,gin,2 oz,lemon juice,1 oz,simple syrup,.75 oz,club soda,1 oz,egg whites,.5 oz,,,,,
a-team shooter,whiskey,1/2 shot,cherry brandy,1/2 shot,lemon,,,,,,,,,,
gin and tonic,dry gin,2 oz,tonic water,3 oz,,,,,,,,,,,
barracuda,irish cream,1 oz,whiskey,1 oz,cream,2 oz,,,,,,,,,
aviation,gin,2 oz,maraschino liqueur, .5 oz,violet flower liqueor,.25 oz,lemon juice,.75 oz,,,,,,,
black forest cake,cherry whiskey,1/3 oz,chocolate liqueur,2/3 oz,hot chocolate,6 oz,,,,,,,,,
negroni,gin,1 oz,campari,1 oz,sweet vermouth,1 oz,,,,,,,,,
irish kiss,whiskey,1 1/2 oz,peach schnapps,1 oz,orange juice,2 oz,ginger ale,5 oz,,,,,,,
french 75,gin,1.5 oz,lemon juice,.75 oz,simple syrup,.75 oz,champagne,1 oz,,,,,,,
cherry sour,whiskey,1/2 oz,cherry brandy,1/2 oz,orange juice,1 oz,lemon juice,1/2 oz,sugar,1/2 tsp,,,,,
white widow,tequila,1 oz,cocnut rum,1 oz,orange liqueur,1 oz,coffee liqueur,1 oz,cream,,,,,,
covered cherry,whiskey,1 1/2 oz,white creme de cacao,1/2 oz,cherry brandy,1/2 oz,,,,,,,,,
long island iced tea,vodka,3/4 oz,gin,3/4 oz,light rum,3/4 oz,tequila,3/4 oz,sweet and sour mix,2 oz,cola,1 dash,orange liqueur,1 oz,
half and half shot,irish cream,1/2 shot,whiskey,1/2 shot,,,,,,,,,,,
ghost buster,whiskey,1 oz,white tequila,1 oz,tia maria,1 oz,irish cream,6 oz,,,,,,,
horse's neck,whiskey,2 oz,ginger ale,,lemon juice,,,,,,,,,,
brave bull,tequila,1 1/4 oz,coffee liqueur,1 1/2 oz,lime juice,pinch,,,,,,,,,
irish coffee,whiskey,1 1/2 oz,brown sugar,1 tbsp,coffee,2 oz,green creme de menthe,,,,,,,,
bird of paradise,tequila,3/4 oz,white creme de cacao,3/4 oz,amaretto,1/2 oz,cream,1 oz,,,,,,,
just sex,coffee liqueur,1/2 oz,peach schnapps,1/2 oz,lemon gin,1/2 oz,cherry whiskey,1/2 oz,ice,,,,,,
black cat,tequila,3 oz,amaretto,3 oz,,,,,,,,,,,
lady's gentleman,whiskey,1 1/2 oz,orange liqueur,1 1/2,orange juice,1 oz,,,,,,,,,
bailey's madras,tequila,1 1/2 oz,pineapple juice,1/2 oz,orange juice,1/2 oz,cranberry juice,,,,,,,,
